RPID,LETTER_CODE,"SHORT_NAME","LONG_NAME",AUTOMATED_SHORT_NAME,AUTOMATED_LONG_NAME,AUTOMATED_LONG_DESCRIPTION,STATUS,STATUS_REASON,STATUS_TEXT,CHANGE_TYPE,"CHANGE_REASON_PUBLIC",EXPORTED_TO_LOINC,MODALITY,PLAYBOOK_TYPE,POPULATION,BODY_REGION,BODY_REGION_2,BODY_REGION_3,BODY_REGION_4,BODY_REGION_5,MODALITY_MODIFIER,MODALITY_MODIFIER_2,MODALITY_MODIFIER_3,PROCEDURE_MODIFIER,PROCEDURE_MODIFIER_2,ANATOMIC_FOCUS,ANATOMIC_FOCUS_2,LATERALITY,REASON_FOR_EXAM,REASON_FOR_EXAM_2,REASON_FOR_EXAM_3,TECHNIQUE,PHARMACEUTICAL,PHARMACEUTICAL_2,VIEW,VIEW_2,VIEW_3,VIEW_4,,RIDS
RPID4758,,"","",XRAY LS SPINE 1VW PORT,XR LUMBOSACRAL SPINE 1 VIEW PORTABLE,A radiography  RADIOLOGY ORDERABLE 1 VIEW and PORTABLE procedure focused on the LUMBOSACRAL SPINE,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,LUMBOSACRAL SPINE, , , , ,1 VIEW,PORTABLE, , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID28733|0|0|0|0|RID43399|RID10383|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4759,,"","",XRAY LS SPINE 4VWS,XR LUMBOSACRAL SPINE 4 VIEWS,A radiography  RADIOLOGY ORDERABLE 4 VIEWS procedure focused on the LUMBOSACRAL SPINE,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,LUMBOSACRAL SPINE, , , , ,4 VIEWS, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID28733|0|0|0|0|RID43408|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4760,,"","",XRAY LS SPINE 2-3VWS,XR LUMBOSACRAL SPINE 2 - 3 VIEWS,A radiography  RADIOLOGY ORDERABLE 2 - 3 VIEWS procedure focused on the LUMBOSACRAL SPINE,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,LUMBOSACRAL SPINE, , , , ,2 - 3 VIEWS, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID28733|0|0|0|0|RID43401|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4761,,"","",XRAY PELVIS 2VWS SACR CCCYX,XR PELVIS 2 VIEWS SACRUM COCCYX,A radiography  RADIOLOGY ORDERABLE 2 VIEWS procedure focused on the SACRUM and COCCYX in the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,2 VIEWS, , , , ,SACRUM,COCCYX, , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43403|0|0|0|0|RID2509|RID2524|0|0|0|0|0|0|0|0|0|0|0|
RPID4762,,"","",XRAY PELVIS 1VW HIP UNILAT,XR PELVIS 1 VIEW HIP UNILATERAL,A radiography  RADIOLOGY ORDERABLE 1 VIEW procedure focused on the UNILATERAL HIP in the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,1 VIEW, , , , ,HIP, ,UNILATERAL, , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43399|0|0|0|0|RID2639|0|RID38593|0|0|0|0|0|0|0|0|0|0|
RPID4763,,"","",XRAY PELVIS HIP PREOP,XR PELVIS HIP PRE OP,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the HIP in the PELVIS for the purpose of PRE OP,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , , , , , , ,HIP, , ,PRE OP, , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|0|0|0|0|0|RID2639|0|0|RID28815|0|0|0|0|0|0|0|0|0|
RPID4764,,"","",XRAY PELVIS 2VWS HIP BILAT,XR PELVIS 2 VIEWS HIP BILATERAL,A radiography  RADIOLOGY ORDERABLE 2 VIEWS procedure focused on the BILATERAL HIP in the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,2 VIEWS, , , , ,HIP, ,BILATERAL, , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43403|0|0|0|0|RID2639|0|RID5771|0|0|0|0|0|0|0|0|0|0|
RPID4765,,"","",XRAY PELVIS 2VWS HIP AP LAT,XR PELVIS 2 VIEWS HIP AP LATERAL,A radiography  RADIOLOGY ORDERABLE 2 VIEWS procedure focused on the HIP in the PELVIS and AP and LATERAL,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,2 VIEWS, , , , ,HIP, , , , , , , , ,AP,LATERAL, , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43403|0|0|0|0|RID2639|0|0|0|0|0|0|0|0|RID43583|RID43591|0|0|
RPID4766,,"","",XRAY PELVIS PORT INTRA-OP HIP,XR PELVIS PORTABLE INTRA-OPERATIVE HIP,A radiography  RADIOLOGY ORDERABLE PORTABLE and INTRA-OPERATIVE procedure focused on the HIP in the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,PORTABLE,INTRA-OPERATIVE, , , ,HIP, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID10383|RID39334|0|0|0|RID2639|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4767,,"","",XRAY PELVIS PORT HIP,XR PELVIS PORTABLE HIP,A radiography  RADIOLOGY ORDERABLE PORTABLE procedure focused on the HIP in the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,PORTABLE, , , , ,HIP, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID10383|0|0|0|0|RID2639|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4768,,"","",XRAY PELVIS INTRA-OP HIP LT,XR PELVIS INTRA-OPERATIVE HIP LEFT,A radiography  RADIOLOGY ORDERABLE INTRA-OPERATIVE procedure focused on the LEFT HIP in the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,INTRA-OPERATIVE, , , , ,HIP, ,LEFT, , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID39334|0|0|0|0|RID2639|0|RID5824|0|0|0|0|0|0|0|0|0|0|
RPID4769,,"","",XRAY PELVIS INTRA-OP HIP RT,XR PELVIS INTRA-OPERATIVE HIP RIGHT,A radiography  RADIOLOGY ORDERABLE INTRA-OPERATIVE procedure focused on the RIGHT HIP in the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,INTRA-OPERATIVE, , , , ,HIP, ,RIGHT, , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID39334|0|0|0|0|RID2639|0|RID5825|0|0|0|0|0|0|0|0|0|0|
RPID4770,,"","",XRAY PELVIS 3VWS,XR PELVIS 3 VIEWS,A radiography  RADIOLOGY ORDERABLE 3 VIEWS procedure focused on the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,3 VIEWS, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43406|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4771,,"","",XRAY PELVIS 2 OR MORE VWS HIP UNILAT,XR PELVIS 2 OR MORE VIEWS HIP UNILATERAL,A radiography  RADIOLOGY ORDERABLE 2 OR MORE VIEWS procedure focused on the UNILATERAL HIP in the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,2 OR MORE VIEWS, , , , ,HIP, ,UNILATERAL, , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43402|0|0|0|0|RID2639|0|RID38593|0|0|0|0|0|0|0|0|0|0|
RPID4772,,"","",XRAY PELVIS 2VWS HIP BILAT AP,XR PELVIS 2 VIEWS HIP BILATERAL AP,A radiography  RADIOLOGY ORDERABLE 2 VIEWS procedure focused on the BILATERAL HIP in the PELVIS and AP,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,2 VIEWS, , , , ,HIP, ,BILATERAL, , , , , , ,AP, , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43403|0|0|0|0|RID2639|0|RID5771|0|0|0|0|0|0|RID43583|0|0|0|
RPID4773,,"","",XRAY INFNT PELVIS HIP,XR INFANT PELVIS HIP,A radiography  RADIOLOGY ORDERABLE INFANT imaging procedure focused on the HIP in the PELVIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE,INFANT,PELVIS, , , , , , , , , ,HIP, , , , , , , , , , , , , ,RID10345|RID13060|RID5643|RID2507|0|0|0|0|0|0|0|0|0|RID2639|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4774,,"","",XRAY UE SHLDER RT AP,XR UPPER EXTREMITY SHOULDER RIGHT AP,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the RIGHT SHOULDER in the UPPER EXTREMITY and AP,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,SHOULDER, ,RIGHT, , , , , , ,AP, , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID1852|0|RID5825|0|0|0|0|0|0|RID43583|0|0|0|
RPID4775,,"","",XRAY UE 2 OR MORE VWS SHLDER RT,XR UPPER EXTREMITY 2 OR MORE VIEWS SHOULDER RIGHT,A radiography  RADIOLOGY ORDERABLE 2 OR MORE VIEWS procedure focused on the RIGHT SHOULDER in the UPPER EXTREMITY,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,2 OR MORE VIEWS, , , , ,SHOULDER, ,RIGHT, , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43402|0|0|0|0|RID1852|0|RID5825|0|0|0|0|0|0|0|0|0|0|
RPID4776,,"","",XRAY UE HUMERUS RT AP LAT,XR UPPER EXTREMITY HUMERUS RIGHT AP LATERAL,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the RIGHT HUMERUS in the UPPER EXTREMITY and AP and LATERAL,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,HUMERUS, ,RIGHT, , , , , , ,AP,LATERAL, , , ,RID10345|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID1971|0|RID5825|0|0|0|0|0|0|RID43583|RID43591|0|0|
RPID4777,,"","",XRAY CHST AC JOINT,XR CHEST ACROMIOCLAVICULAR JOINT,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the ACROMIOCLAVICULAR JOINT in the CHEST,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , ,ACROMIOCLAVICULAR JOINT, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|RID1895|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4778,,"","",XRAY UE SHLDER LT AP,XR UPPER EXTREMITY SHOULDER LEFT AP,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the LEFT SHOULDER in the UPPER EXTREMITY and AP,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,SHOULDER, ,LEFT, , , , , , ,AP, , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID1852|0|RID5824|0|0|0|0|0|0|RID43583|0|0|0|
RPID4779,,"","",XRAY UE 2 OR MORE VWS SHLDER LT,XR UPPER EXTREMITY 2 OR MORE VIEWS SHOULDER LEFT,A radiography  RADIOLOGY ORDERABLE 2 OR MORE VIEWS procedure focused on the LEFT SHOULDER in the UPPER EXTREMITY,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,2 OR MORE VIEWS, , , , ,SHOULDER, ,LEFT, , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43402|0|0|0|0|RID1852|0|RID5824|0|0|0|0|0|0|0|0|0|0|
RPID4780,,"","",XRAY UE HUMERUS LT AP LAT,XR UPPER EXTREMITY HUMERUS LEFT AP LATERAL,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the LEFT HUMERUS in the UPPER EXTREMITY and AP and LATERAL,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,HUMERUS, ,LEFT, , , , , , ,AP,LATERAL, , , ,RID10345|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID1971|0|RID5824|0|0|0|0|0|0|RID43583|RID43591|0|0|
RPID4781,,"","",XRAY UE 1VW SHLDER LT,XR UPPER EXTREMITY 1 VIEW SHOULDER LEFT,A radiography  RADIOLOGY ORDERABLE 1 VIEW procedure focused on the LEFT SHOULDER in the UPPER EXTREMITY,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,1 VIEW, , , , ,SHOULDER, ,LEFT, , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43399|0|0|0|0|RID1852|0|RID5824|0|0|0|0|0|0|0|0|0|0|
RPID4782,,"","",XRAY UE 2VWS SHLDER LT,XR UPPER EXTREMITY 2 VIEWS SHOULDER LEFT,A radiography  RADIOLOGY ORDERABLE 2 VIEWS procedure focused on the LEFT SHOULDER in the UPPER EXTREMITY,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,2 VIEWS, , , , ,SHOULDER, ,LEFT, , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43403|0|0|0|0|RID1852|0|RID5824|0|0|0|0|0|0|0|0|0|0|
RPID4783,,"","",XRAY UE 2VWS HUMERUS LT,XR UPPER EXTREMITY 2 VIEWS HUMERUS LEFT,A radiography  RADIOLOGY ORDERABLE 2 VIEWS procedure focused on the LEFT HUMERUS in the UPPER EXTREMITY,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,2 VIEWS, , , , ,HUMERUS, ,LEFT, , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43403|0|0|0|0|RID1971|0|RID5824|0|0|0|0|0|0|0|0|0|0|
RPID4784,,"","",XRAY UE 1VW SHLDER RT,XR UPPER EXTREMITY 1 VIEW SHOULDER RIGHT,A radiography  RADIOLOGY ORDERABLE 1 VIEW procedure focused on the RIGHT SHOULDER in the UPPER EXTREMITY,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,1 VIEW, , , , ,SHOULDER, ,RIGHT, , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43399|0|0|0|0|RID1852|0|RID5825|0|0|0|0|0|0|0|0|0|0|
RPID4785,,"","",XRAY UE 2VWS SHLDER RT,XR UPPER EXTREMITY 2 VIEWS SHOULDER RIGHT,A radiography  RADIOLOGY ORDERABLE 2 VIEWS procedure focused on the RIGHT SHOULDER in the UPPER EXTREMITY,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,2 VIEWS, , , , ,SHOULDER, ,RIGHT, , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43403|0|0|0|0|RID1852|0|RID5825|0|0|0|0|0|0|0|0|0|0|
RPID4786,,"","",XRAY UE 2VWS HUMERUS RT,XR UPPER EXTREMITY 2 VIEWS HUMERUS RIGHT,A radiography  RADIOLOGY ORDERABLE 2 VIEWS procedure focused on the RIGHT HUMERUS in the UPPER EXTREMITY,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,2 VIEWS, , , , ,HUMERUS, ,RIGHT, , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43403|0|0|0|0|RID1971|0|RID5825|0|0|0|0|0|0|0|0|0|0|
RPID4787,,"","",XRAY HEAD SKULL AP LAT,XR HEAD SKULL AP LATERAL,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the SKULL in the HEAD and AP and LATERAL,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,SKULL, , , , , , , , ,AP,LATERAL, , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9196|0|0|0|0|0|0|0|0|RID43583|RID43591|0|0|
RPID4788,XRSI12V,"XR Sinuses 1-2V","XR Paranasal Sinuses 1-2 Views",XRAY HEAD 1-2VWS SINUSES,XR HEAD 1 - 2 VIEWS PARANASAL SINUSES,A radiography  RADIOLOGY ORDERABLE 1 - 2 VIEWS procedure focused on the PARANASAL SINUSES in the HEAD,ACTIVE,,"",,"",TRUE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,1 - 2 VIEWS, , , , ,PARANASAL SINUSES, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43400|0|0|0|0|RID28579|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4789,,"","",XRAY HEAD 3VWS MASTOID,XR HEAD 3 VIEWS MASTOID,A radiography  RADIOLOGY ORDERABLE 3 VIEWS procedure focused on the MASTOID in the HEAD,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,3 VIEWS, , , , ,MASTOID, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43406|0|0|0|0|RID35754|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4790,,"","",XRAY HEAD 3 OR MORE VWS MASTOID,XR HEAD 3 OR MORE VIEWS MASTOID,A radiography  RADIOLOGY ORDERABLE 3 OR MORE VIEWS procedure focused on the MASTOID in the HEAD,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,3 OR MORE VIEWS, , , , ,MASTOID, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43405|0|0|0|0|RID35754|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4791,,"","",XRAY HEAD 4VWS ORBITS,XR HEAD 4 VIEWS ORBITS,A radiography  RADIOLOGY ORDERABLE 4 VIEWS procedure focused on the ORBITS in the HEAD,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,4 VIEWS, , , , ,ORBITS, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43408|0|0|0|0|RID28601|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4792,,"","",XRAY HEAD 4VWS MANDIBLE,XR HEAD 4 VIEWS MANDIBLE,A radiography  RADIOLOGY ORDERABLE 4 VIEWS procedure focused on the MANDIBLE in the HEAD,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,4 VIEWS, , , , ,MANDIBLE, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43408|0|0|0|0|RID9082|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4793,XRSG,"XR Salivary Gland","XR Salivary Gland",XRAY HEAD SALIV,XR HEAD SALIVARY GLAND,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the SALIVARY GLAND in the HEAD,ACTIVE,,"",,"",TRUE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,SALIVARY GLAND, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID13421|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4794,,"","",XRAY HEAD 1-2VWS,XR HEAD 1 - 2 VIEWS,A radiography  RADIOLOGY ORDERABLE 1 - 2 VIEWS procedure focused on the HEAD,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,1 - 2 VIEWS, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43400|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4795,,"","",XRAY HEAD 3 OR MORE VWS,XR HEAD 3 OR MORE VIEWS,A radiography  RADIOLOGY ORDERABLE 3 OR MORE VIEWS procedure focused on the HEAD,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,3 OR MORE VIEWS, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43405|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4796,,"","",XRAY HEAD 3 OR MORE VWS NSL BNS,XR HEAD 3 OR MORE VIEWS NASAL BONES,A radiography  RADIOLOGY ORDERABLE 3 OR MORE VIEWS procedure focused on the NASAL BONES in the HEAD,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,3 OR MORE VIEWS, , , , ,NASAL BONES, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43405|0|0|0|0|RID43410|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4797,,"","",XRAY HEAD TMJ BILAT,XR HEAD TEMPOROMANDIBULAR JOINT BILATERAL,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the BILATERAL TEMPOROMANDIBULAR JOINT in the HEAD,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,TEMPOROMANDIBULAR JOINT, ,BILATERAL, , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9779|0|RID5771|0|0|0|0|0|0|0|0|0|0|
RPID4798,XROR4+V,"XR Orbits Comp 4+V","XR Orbits Complete 4+ Views",XRAY HEAD 4 OR MORE VWS ORBITS,XR HEAD 4 OR MORE VIEWS ORBITS,A radiography  RADIOLOGY ORDERABLE 4 OR MORE VIEWS procedure focused on the ORBITS in the HEAD,ACTIVE,,"",,"",TRUE,XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,4 OR MORE VIEWS, , , , ,ORBITS, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43407|0|0|0|0|RID28601|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4799,,"","",XRAY TL SPINE SCOLI,XR THORACOLUMBAR SPINE SCOLIOSIS,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the THORACOLUMBAR SPINE for the purpose of SCOLIOSIS,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,THORACOLUMBAR SPINE, , , , , , , , , , , , ,SCOLIOSIS, , , , , , , , , , ,RID10345|RID13060|0|RID35809|0|0|0|0|0|0|0|0|0|0|0|0|RID4756|0|0|0|0|0|0|0|0|0|
RPID4800,,"","",XRAY T SPINE STAND,XR THORACIC SPINE STANDING,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the THORACIC SPINE and STANDING,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , , , , , , , , , , , , , , , ,STANDING, , , , ,RID10345|RID13060|0|RID28677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID10453|0|0|0|
RPID4801,,"","",XRAY T SPINE AP LAT OBLQ,XR THORACIC SPINE AP LATERAL OBLIQUE,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the THORACIC SPINE and AP and LATERAL and OBLIQUE,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , , , , , , , , , , , , , , , ,AP,LATERAL,OBLIQUE, , ,RID10345|RID13060|0|RID28677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID43583|RID43591|RID45661|0|
RPID4802,XRTS1VL,"XR T-Spine 1V Lat","XR Thoracic Spine 1 View Lateral",XRAY T SPINE LAT,XR THORACIC SPINE LATERAL,A radiography  RADIOLOGY ORDERABLE imaging procedure focused on the THORACIC SPINE and LATERAL,ACTIVE,,"",,"",TRUE,XR,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , , , , , , , , , , , , , , , ,LATERAL, , , , ,RID10345|RID13060|0|RID28677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID43591|0|0|0|
RPID4803,,"","",XRAY T SPINE 4VWS,XR THORACIC SPINE 4 VIEWS,A radiography  RADIOLOGY ORDERABLE 4 VIEWS procedure focused on the THORACIC SPINE,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , ,4 VIEWS, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID28677|0|0|0|0|RID43408|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6024,DXBNDNEXWR,"DXA Extremity Wrist","DXA Bone Density Extremity Wrist",XRAY BONE DXA PRPHRL WRIST,XR BONE DXA PERIPHERAL WRIST,A radiography  RADIOLOGY ORDERABLE DXA PERIPHERAL procedure focused on the WRIST in the BONE,ACTIVE,,"",,"",FALSE,XR,RADIOLOGY ORDERABLE, ,BONE, , , , ,DXA, , ,PERIPHERAL, ,WRIST, , , , , , , , , , , , , ,RID10345|RID13060|0|RID13197|0|0|0|0|RID10363|0|0|RID5828|0|RID2177|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6025,XRFC12V,"XR Facial Bones 1-2V","XR Facial Bones 1-2 Views",XRAY FACE 1-2VWS FACL BNS,XR FACE 1 - 2 VIEWS FACIAL BONES,A radiography  RADIOLOGY ORDERABLE 1 - 2 VIEWS procedure focused on the FACIAL BONES in the FACE,ACTIVE,,"",,"",TRUE,XR,RADIOLOGY ORDERABLE, ,FACE, , , , ,1 - 2 VIEWS, , , , ,FACIAL BONES, , , , , , , , , , , , , ,RID10345|RID13060|0|RID13284|0|0|0|0|RID43400|0|0|0|0|RID28570|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6026,XRFC12VZ,"XR Facial Bones 1-2V Zygoma","XR Facial Bones 1-2 Views Zygoma",XRAY FACE 1-2VWS ZYG ARCH,XR FACE 1 - 2 VIEWS ZYGOMATIC ARCH,A radiography  RADIOLOGY ORDERABLE 1 - 2 VIEWS procedure focused on the ZYGOMATIC ARCH in the FACE,ACTIVE,,"",,"",TRUE,XR,RADIOLOGY ORDERABLE, ,FACE, , , , ,1 - 2 VIEWS, , , , ,ZYGOMATIC ARCH, , , , , , , , , , , , , ,RID10345|RID13060|0|RID13284|0|0|0|0|RID43400|0|0|0|0|RID28599|0|0|0|0|0|0|0|0|0|0|0|0|
